"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C101";"CP_Radial_D5.0mm_P2.00mm";1;"1u";;;
2;"R108";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3k3";;;
3;"Q102";"TO-92_Inline";1;"BC558";;;
4;"R105";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220";;;
5;"R107";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"75";;;
6;"Q101,Q103";"TO-92_Inline";2;"BC548";;;
7;"R103";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"270";;;
8;"C102";"CP_Radial_D5.0mm_P2.00mm";1;"10u";;;
9;"R102";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3k9";;;
10;"R104";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470";;;
11;"R106";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
12;"D101";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
13;"R109";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k2";;;
14;"R101";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5k6";;;
15;"J102";"PinHeader_1x02_P2.54mm_Horizontal";1;"Composite Output";;;
16;"J104";"PinHeader_1x04_P2.54mm_Horizontal";1;"Composite Input";;;
